mode,pred_path,rmse_mean,rmse_std,mae_mean,mae_std,corr_mean,corr_std,eol_error_mean,eol_error_std,valid_eol_ratio,n_valid_eol,n_true_eol_positive,false_cross,missed_cross,group_acc
full,D:\study\毕设\mywork\DDPM_Battery\Output\code2_test_predictions_seed42_n10_ab_full_r82_fair.pkl,2.6058261611244897,1.2761321926523865,1.6333203342827884,0.8128603531542911,0.9712957035411488,0.027760073638750663,105.13636363636364,93.16275858290619,1.0,22,22,0,0,1.0
no_life,D:\study\毕设\mywork\DDPM_Battery\Output\code2_test_predictions_seed42_n10_ab_nolife_r82_fair.pkl,2.073354943232103,0.927263172717564,1.3159930841489271,0.5769909971321145,0.9727328663522546,0.029658798386650573,258.1363636363636,222.4790685669401,1.0,22,22,0,0,1.0
life_only,D:\study\毕设\mywork\DDPM_Battery\Output\code2_test_predictions_seed42_n10_ab_lifeonly_r82_fair.pkl,3.606626518748023,1.8304407401673821,2.452700050039725,1.3841572882595918,0.9755326021801342,0.020178809797941205,121.45454545454545,96.32177478390159,1.0,22,22,0,0,1.0
