case,file,overall_rmse,overall_mae,overall_corr,overall_eol_abs_error,g0_rmse,g0_mae,g0_corr,g0_eol_abs_error,g1_rmse,g1_mae,g1_corr,g1_eol_abs_error,g2_rmse,g2_mae,g2_corr,g2_eol_abs_error
ablogic_twostage,code2_test_predictions_seed42_n10_ablogic_twostage_r82.pkl,4.324175200679085,3.0347647016698662,0.9567058519883589,195.5,3.0567902868444268,2.021798561919819,0.9477378336897275,87.72727272727273,6.594749867916107,4.683682054281235,0.9736929046623001,390.5,2.916387438774109,2.3518609404563904,0.9442897304569294,70.66666666666667
abloss_no_shape,code2_test_predictions_seed42_n10_abloss_noshape_r82.pkl,4.39812186089429,3.065147180448879,0.9626002799380909,192.77272727272728,3.1812363754619253,2.104281555522572,0.9491108066702828,90.63636363636364,7.008823096752167,5.02776512503624,0.977413621001258,379.375,1.8981653451919556,1.3546732862790425,0.9725592970324134,69.66666666666667
abloss_no_eolaux,code2_test_predictions_seed42_n10_abloss_noeolaux_r82.pkl,4.740331752733751,3.3882270645011556,0.9517582221464678,210.95454545454547,3.375671397555958,2.367658414623954,0.9419325907918424,83.72727272727273,7.074012815952301,5.05749437212944,0.9682116728446979,434.0,3.520936886469523,2.6789326270421348,0.9439097414871469,82.66666666666667
abloss_no_groupweight,code2_test_predictions_seed42_n10_abloss_nogroupweight_r82.pkl,4.17636618830941,2.922422018918124,0.9576566517353058,198.72727272727272,2.8762458129362627,1.923421859741211,0.9458765225679947,84.9090909090909,6.615596830844879,4.697273343801498,0.973809843380426,393.25,2.4388591845830283,1.8524857362111409,0.9577751516640821,97.33333333333333
