run,rmse_mean,mae_mean,corr_mean,eol_error_mean,eol_error_std,valid_eol_ratio,group_acc,g0_rmse_max,g0_eol_max,g1_rmse_max,g1_eol_max,g2_rmse_max,g2_eol_max
baseline_rt82_old,2.232037229971452,1.4243513183160261,0.9807052558118646,81.95454545454545,68.35567228756,1.0,1.0,4.099453926086426,181.0,2.533607006072998,175.0,1.9963829517364502,291.0
corr15dedup_rt82,3.044331333853982,1.9641381542791019,0.979801286350597,121.36363636363636,94.6445721704225,1.0,1.0,6.403449058532715,272.0,4.389659881591797,235.0,2.4253945350646973,389.0
fixed15tmax_rt82,2.2724541263146834,1.4548263983293013,0.9813641282645139,120.31818181818181,105.2189865184366,1.0,1.0,4.3272705078125,173.0,3.225461959838867,306.0,2.5492606163024902,389.0
delta(corr15dedup_rt82-old),0.8122941038825298,0.5397868359630758,-0.0009039694612675842,39.40909090909091,26.28889988286251,0.0,0.0,2.303995132446289,91.0,1.8560528755187988,60.0,0.42901158332824707,98.0
delta(fixed15tmax_rt82-old),0.0404168963432312,0.030475080013275146,0.000658872452649284,38.36363636363636,36.8633142308766,0.0,0.0,0.22781658172607422,-8.0,0.6918549537658691,131.0,0.55287766456604,98.0
