strategy,rmse_mean,rmse_std,mae_mean,mae_std,corr_mean,corr_std,eol_error_mean,eol_error_std,valid_eol_ratio,group_acc,path
weighted_random,7.750755310058594,2.3067496683720883,5.896724885160273,2.321749587852355,0.9263249039649963,0.06634641599544305,417.95454545454544,297.99702214386565,1.0,1.0,D:\study\毕设\mywork\DDPM_Battery\Output\code2_test_predictions_seed42_n10_stratA_weighted_r82.pkl
shuffle,9.096936399286443,2.5249861313301603,6.943557002327659,2.8358207101320514,0.8699280917644501,0.11124015627933409,465.77272727272725,320.6968168646322,1.0,1.0,D:\study\毕设\mywork\DDPM_Battery\Output\code2_test_predictions_seed42_n10_stratA_shuffle_r82.pkl
sequential,8.720222299749201,2.378503288568656,6.6259789141741665,2.610539835244517,0.8982714089480314,0.08361572118060483,455.6818181818182,314.76418104578147,1.0,1.0,D:\study\毕设\mywork\DDPM_Battery\Output\code2_test_predictions_seed42_n10_stratA_sequential_r82.pkl
