case,file,overall_rmse,overall_mae,overall_corr,overall_eol_abs_error,g0_rmse,g0_mae,g0_corr,g0_eol_abs_error,g1_rmse,g1_mae,g1_corr,g1_eol_abs_error,g2_rmse,g2_mae,g2_corr,g2_eol_abs_error
ablogic_twostage,code2_test_predictions_seed42_n10_ablogic_twostage_r82.pkl,4.324175200679085,3.0347647016698662,0.9567058519883589,195.5,3.0567902868444268,2.021798561919819,0.9477378336897275,87.72727272727273,6.594749867916107,4.683682054281235,0.9736929046623001,390.5,2.916387438774109,2.3518609404563904,0.9442897304569294,70.66666666666667
ablogic_directdiff,code2_test_predictions_seed42_n10_ablogic_directdiff_r82.pkl,3.07575477253307,2.2739442884922028,0.9198108559305017,253.6818181818182,3.7228982773694126,2.912203647873618,0.9316542119641293,77.54545454545455,2.116946116089821,1.2520738616585732,0.8975655393412644,529.375,3.259718338648478,2.6586477756500244,0.9357060881015409,164.33333333333334
ablogic_no_group_expert,code2_test_predictions_seed42_n10_ablogic_nogroupexpert_r82.pkl,5.38933375748721,3.832840686494654,0.9596569456837394,313.1363636363636,4.518962589177218,3.3111429431221704,0.9477338041533169,107.9090909090909,7.325454592704773,5.00839239358902,0.9761027097030048,681.0,3.4177058140436807,2.610927859942118,0.959519883808094,84.66666666666667
